title,column-1,category
如何爽 - 嚴師父,60475,2009/5/14
個經影片 第十六組,71443,2009/6/13
葉大方家好髒,23431,2009/7/12
Pray For Plagues - How Fun,6905,2009/10/23
Pray For Plagues - How Fun (Extra),7180,2009/10/25
電影配樂通識影片,220536,2010/1/7
香港行part 2,8836,2010/2/20
Lexus藍亦明的室友,594131,2010/3/23
香港行part3,7345,2010/4/13
撞陳孜昊,160461,2010/4/14
2010政大經濟系卡「S.H.I.T - 陳羿汎是Gay」,145971,2010/5/1
2010政大經濟系卡 「S.H.I.T - 陳羿汎是Gay」Live,153945,2010/5/4
"My Zildjian 12"" K Splash and 19"" K China",4891,2010/8/25
如何爽 - 四秒,35899,2011/1/6
政大經濟畢業公演「管他什麼畢業」18 - 叫叫RAP,11317,2011/6/1
政大經濟畢業公演「管他什麼畢業」19 - 麗之吉他,13024,2011/6/3
政大經濟畢業公演「管他什麼畢業」28 - 軟Q,8849,2011/6/7
HowHow美國行#1,584874,2011/12/22
HowHow美國行#2,253376,2012/1/1
HowHow美國行#3,266885,2012/1/5
HowHow美國行#4,229133,2012/1/11
HowHow美國行#5,206680,2012/1/13
HowHow美國行#6,174778,2012/1/20
HowHow美國行#7,161244,2012/2/1
HowHow美國行#8,167990,2012/2/10
HowHow美國行#9,143144,2012/2/22
HowHow美國行#10,126518,2012/3/9
Spring Break 2012 Trailer,11115,2012/3/10
HowHow美國行#11,127240,2012/3/23
HowHow美國行#12,139254,2012/3/30
跪求陳伯榕,42094,2012/4/6
HowHow美國行#13,128680,2012/4/6
HowHow美國行#14,120791,2012/4/13
HowHow美國行#15,119358,2012/4/27
HowHow美國行#16,101259,2012/5/4
HowHow美國行#17,107675,2012/5/25
HowHow美國行#20,107316,2012/6/4
超快樂金山行,41755,2012/7/30
Guitar,41062,2012/7/31
It won't rain,330935,2012/8/1
My NyanMouse,34692,2012/8/3
購物社團,521774,2013/5/23
刺青Tattoo,534218,2013/6/11
我們畢典要表演什麼,2506085,2013/6/24
大鵬畢業典禮注意事項,455723,2013/7/5
畢業生小朋友感言,287222,2013/7/6
100萬人次感謝影片,260839,2013/7/18
還好我退了,3500757,2013/7/19
長灘島 Boracay,317295,2013/7/30
鏡頭蓋,195849,2013/8/5
旋轉吧!潮流,883117,2013/8/8
HowHow美國行S2 #1,134926,2013/8/17
HowHow美國行S2 #2,219558,2013/8/20
HowHow美國行S2 #3,170863,2013/9/2
人生跑馬燈,824105,2013/9/6
HowHow美國行S2 #4,179658,2013/9/13
黃色小鴨來台灣,729050,2013/9/21
HowHow美國行S2 #5,94869,2013/9/29
The reasons why I love Taiwan,66440,2013/10/10
HowHow美國行S2 #6,125144,2013/10/18
AE 101 Assignment (Bouncing Ball),32469,2013/10/20
料理心經,212039,2013/10/25
HowHow美國行S2 #7,117018,2013/11/2
HowHow美國行S2 #8,80362,2013/11/8
入陣去拉屎,516489,2013/11/15
師大附中1124班十週年班日,221169,2013/11/24
HowHow美國行S2 #9,114482,2013/11/28
HowHow美國行S2 #10,92517,2013/12/7
Thank you for watching my videos in 2013,59656,2013/12/14
如果道歉就有用那還需要警察幹嘛,635800,2013/12/21
HowHow美國行S2 #11,74226,2013/12/25
我的2013年回顧 My 2013 Review,111840,2013/12/31
就只是簡單的推理而已,675569,2014/1/4
HowHow美國行S2 #12,122560,2014/1/19
美國冷知識,688946,2014/1/26
HowHow美國行S2 #13,87761,2014/1/31
HowHow美國行S2 #14,87995,2014/2/14
魔術大揭密 Magic's Biggest Secrets Finally Revealed by Jason Chen,405845,2014/3/3
恐怯餅乾，我的餅乾,874070,2014/3/11
HowHow美國行S3 #1,140118,2014/3/23
Pens,244228,2014/3/30
太陽花 SunFlower Movement,236005,2014/4/6
HowHow美國行S3 #2,93395,2014/4/12
負面能量 Negative Energy,239753,2014/4/13
垃圾訊息 Spam,573761,2014/4/17
HowHow美國行S3 #3,107757,2014/4/20
你們畢典要表演什麼,1583397,2014/4/23
HowHow美國行S3 #4,104117,2014/5/7
母親節快樂之這樣一切就說得過去了,292179,2014/5/11
HowHow美國行S3 #5,76791,2014/5/17
HowHow美國行S3 #6,71055,2014/5/26
趕快給我反霸凌喔,1532778,2014/5/29
黑魔男 MalefiJason,321650,2014/6/12
HowHow美國行S3 #7,77412,2014/6/17
